地区,社会统一信用代码,企业名称,发电类型,装机容量,更新时间
云南,91532626343707155T,丘北太科光伏电力有限公司_团树,太阳能发电,3,2026-03-31 13:37:12
云南,91532326MA6K52EE22,大姚瑞宏新能源开发有限公司_妙峰,太阳能发电,2,2026-03-31 13:37:12
云南,91530381MA6K3PFQ9U,宣威市晶科光伏发电有限公司_岩脚,太阳能发电,3,2026-03-31 13:37:12
云南,91532328MA6KJRRC39,元谋瑞能光伏发电有限公司_坡头山,太阳能发电,2,2026-03-31 13:37:12
云南,91532524346624910C,建水云得太阳能科技有限公司_五里冲,太阳能发电,2.16,2026-03-31 13:37:12
云南,91530323MA6K5YAT7D,师宗尚孚義和太阳能投资有限公司_碧宗,太阳能发电,3,2026-03-31 13:37:12
云南,91530426MA6K3BUB3R,峨山永鑫光伏发电有限公司_他格莫,太阳能发电,5,2026-03-31 13:37:12
云南,915304253162856127,中国水电顾问集团易门新能源有限公司_朝阳,太阳能发电,2.8,2026-03-31 13:37:10
云南,91530322MA6K43NL4Q,陆良汇昆天合太阳能电力开发有限公司_麻舍所,太阳能发电,3,2026-03-31 13:37:10
云南,91532301356023588C,楚雄清岭新能源科技有限公司_清岭光伏电站,太阳能发电,.125,2026-03-31 13:37:10
云南,915329240863628965,云南大唐国际宾川新能源有限责任公司_老鹰岩（含三期）,太阳能发电,10,2026-03-31 13:37:10
云南,91530124325292582Q,绿能（富民）太阳能科技有限公司_拖卓、白石崖,太阳能发电,4.1,2026-03-31 13:37:10
云南,91532900MA6K3XYQ11,华润新能源光伏发电(弥渡)有限公司_石咀,太阳能发电,2,2026-03-31 13:37:10
云南,91530328MA6K3W288T,曲靖市沾益区安益宝农业科技有限公司_玉光,太阳能发电,1,2026-03-31 13:37:10
云南,91530402399506926F,玉溪市中太新能源科技有限公司_天宝,太阳能发电,1.8,2026-03-31 13:37:10
云南,91532932MA6K3TER1W,鹤庆鑫华光伏发电有限公司_小雷钵,太阳能发电,1.7,2026-03-31 13:37:10
云南,915304213467651666,玉溪江川区远盛太阳能科技有限公司_旧寨,太阳能发电,2,2026-03-31 13:37:10
云南,91530723MA6K43GH70,丽江隆基清洁能源有限公司_水子坪,太阳能发电,7.38,2026-03-31 13:37:10
云南,91530124MA6K3BWG7L,绿清能(富民)太阳能科技有限公司_白石崖三期,太阳能发电,5,2026-03-31 13:37:10
云南,91532323MA6K33RA4Y,楚雄长翔光伏发电有限公司_长冲,太阳能发电,2,2026-03-31 13:37:05
云南,915323273293069290,永仁惠光光伏发电有限公司_班幸,太阳能发电,3.5,2026-03-31 13:37:05
云南,91530128336598130U,禄劝县爱康能源电力有限公司_钢家岭,太阳能发电,2,2026-03-31 13:37:05
云南,915325243366699551,建水县奥特斯维光伏发电有限公司_下海尾,太阳能发电,4.1,2026-03-31 13:37:05
云南,91533325MA6K359119,兰坪太科光伏电力有限公司_青岩山,太阳能发电,1,2026-03-31 13:37:05
云南,91533325MA6K353998,兰坪昌盛太阳能科技有限公司_小暑甸,太阳能发电,5,2026-03-31 13:37:05
云南,91530922329142741Q,云县汇能发电有限责任公司_干龙潭,太阳能发电,3,2026-03-31 13:37:05
云南,91532621336603921H,文山太科光伏电力有限公司_古木,太阳能发电,3,2026-03-31 13:37:05
云南,91532328323037924G,元谋弘盈新能源发电有限公司_班果,太阳能发电,5,2026-03-31 13:37:05
云南,91532328351827122K,元谋惠光光伏发电有限公司_芝麻,太阳能发电,5,2026-03-31 13:37:05
云南,91530126099720859N,华能新能源石林光伏发电有限公司_西街口,太阳能发电,4.65,2026-03-31 13:37:05
云南,91532925MA6K3E9C6P,弥渡惠扬农业新能源科技有限公司_朱坊,太阳能发电,5,2026-03-31 13:37:05
云南,91530723316208457R,三峡新能源华坪发电有限公司_密落槽子,太阳能发电,3,2026-03-31 13:37:01
云南,91532326056980175G,中国水电顾问集团大姚新能源开发有限公司_大古衙,太阳能发电,2,2026-03-31 13:37:01
云南,91532924329138195H,国投大理光伏发电有限公司_岩淜,太阳能发电,4,2026-03-31 13:37:01
云南,91530126336564512M,石林中云电新能源有限责任公司_北大村,太阳能发电,6,2026-03-31 13:37:01
云南,91530621316201685D,昭通茂创能源开发有限公司_茂创转山包,太阳能发电,3,2026-03-31 13:37:01
云南,91532822343610548W,勐海协鑫光伏农业电力有限公司_星火山,太阳能发电,3,2026-03-31 13:37:01
云南,91530000336415306Q,华润新能源光伏发电(昭通)有限公司_宁边,太阳能发电,2,2026-03-31 13:37:01
云南,91532900346660209D,大理瑞德兴阳新能源科技有限公司_杨梅坪,太阳能发电,2.17,2026-03-31 13:37:01
云南,91530423336664177B,通海旷达光伏发电有限公司_大平地,太阳能发电,3,2026-03-31 13:37:01
云南,91530921329281813D,凤庆县爱康电力有限公司_大兴,太阳能发电,4,2026-03-31 13:37:01
云南,915308273163786406,孟连三犇新能源开发有限公司_芒街,太阳能发电,2,2026-03-31 13:37:01
云南,91530302072497802Y,曲靖英利光伏电力开发有限公司_南头山,太阳能发电,1,2026-03-31 13:37:01
云南,91530723095848097X,华坪协合太阳能发电有限公司_干箐,太阳能发电,5,2026-03-31 13:36:57
云南,91532500064264953B,国投新能源（红河）股份有限公司_南庄,太阳能发电,30,2026-03-31 13:36:57
云南,91532322MACRY1R970,双柏中电建新能源有限公司_大庄,太阳能发电,2.7,2026-03-31 13:36:57
云南,915304280970829294,元江中电光伏发电有限公司_甘庄,太阳能发电,2,2026-03-31 13:36:57
云南,915323285993387793,元谋绿电新能源开发有限公司_河外,太阳能发电,5,2026-03-31 13:36:57
云南,91530428316202311T,元江中盛太阳能科技有限公司_北泽,太阳能发电,4,2026-03-31 13:36:57
云南,91532502098129709U,开远弘裕阳光新能源发电有限公司_清塘子,太阳能发电,3.06,2026-03-31 13:36:57
云南,91530722343747691G,中国能源建设集团永胜新能源有限公司_四角山,太阳能发电,6,2026-03-31 13:36:57
云南,915325020724868717,开远中能新能源有限公司_驻马哨,太阳能发电,7.6,2026-03-31 13:36:57
云南,91532522336600982E,蒙自奥特斯维光伏发电有限公司_洛戈底,太阳能发电,4.5,2026-03-31 13:36:57
云南,915329320863920244,鹤庆汇能发电有限责任公司_子牙关,太阳能发电,3,2026-03-31 13:36:57
云南,915301263292852401,石林东旭新能源有限公司_石漠化,太阳能发电,2,2026-03-31 13:36:57
云南,91532900083296635N,中电大理(西村)光伏发电有限公司_西村,太阳能发电,10,2026-03-31 13:36:52
云南,91532327MA7CY3XQ7C,永仁华电新能源开发有限公司维的光伏发电分公司_永仁维的,太阳能发电,4,2026-03-31 13:36:52
云南,91532327582368648J,永仁协合太阳能发电有限公司_干巴拉,太阳能发电,5,2026-03-31 13:36:52
云南,91530000676581175P,云南滇能智慧能源有限公司_秀田,太阳能发电,5,2026-03-31 13:36:52
云南,915329240615643956,三峡新能源宾川发电有限公司_干塘子,太阳能发电,3,2026-03-31 13:36:52
云南,91532328067105915E,三峡新能源元谋发电有限公司_天子山,太阳能发电,2,2026-03-31 13:36:52
云南,915326220981284312,砚山太科光伏电力有限公司_砚山太科,太阳能发电,5,2026-03-31 13:36:52
云南,915323280863897063,元谋中电电气光伏发电有限公司_小西村,太阳能发电,2,2026-03-31 13:36:52
云南,915303000943444522,曲靖市沾益区阿特斯光伏发电有限公司_刘家庄,太阳能发电,1,2026-03-31 13:36:52
云南,91532930059469356U,洱源协合太阳能发电有限公司_大佛山,太阳能发电,3,2026-03-31 13:36:52
云南,91532900668266247Y,水电十四局大理聚能投资有限公司_干海子,太阳能发电,2,2026-03-31 13:36:52
云南,91532930MA6NGRWG4L,华能大理风力发电有限公司洱源分公司_大龙潭,太阳能发电,2.05,2026-03-31 13:36:52
云南,91530427579830950D,大唐玉溪新能源有限公司_向阳山,风电,4.95,2026-03-31 13:36:49
云南,91532323560072811F,中广核楚雄牟定风力发电有限公司_凤屯（含二期）,风电,9.9,2026-03-31 13:36:49
云南,91532930MA6NGRWG4L,华能大理风力发电有限公司洱源分公司_石蒲塘（含二期）,风电,9.9,2026-03-31 13:36:49
云南,91532502067114571N,云南华电大黑山风力发电有限公司_左美果（含三期）,风电,13.55,2026-03-31 13:36:49
云南,91532626566248259K,大唐丘北风电有限责任公司_大龙山（含三期）,风电,14.4,2026-03-31 13:36:49
云南,91532525587379506X,云南湘电中诺新能源有限公司_大牛（含二期）,风电,9.6,2026-03-31 13:36:49
云南,9153032507527417XL,华能云南富源风电有限责任公司_光梁子,风电,4.8,2026-03-31 13:36:49
