聚类序号,风机数量,物理中心,企业名称,主体名称,站点名称,台账容量,预估容量,距离_km,综合得分
3,4,"102.58425521850586,24.670574426651",云南华宁火特新能源开发有限公司_将军山（含二期）,云南华宁火特新能源开发有限公司,将军山,8.8,12.0,10.47,0.8467
42,2,"103.66629028320312,27.26037883758545",会泽协合风力发电有限公司_仓房,会泽协合风力发电有限公司,仓房,4.8,6.0,17.85,0.815
56,4,"101.78397941589355,25.98406744003296",国能云南新能源有限公司_雷应山（含二期）,国能云南新能源有限公司,雷应山,9.9,12.0,19.64,0.81
11,2,"103.44672393798828,24.3484525680542",中广核曲靖宣威风力发电有限公司_大绿山,中广核曲靖宣威风力发电有限公司,大绿山,4.8,6.0,23.23,0.7774
36,45,"103.24349653455945,26.30328229268392",会泽云能投新能源开发有限公司_大海梁子（含二期）,会泽云能投新能源开发有限公司,大海梁子,9.6,135.0,0.67,0.7167
33,18,"102.58804321289062,25.78448708852132",国电电力云南禄劝风电开发有限公司_卓干山,国电电力云南禄劝风电开发有限公司,卓干山,3.6,54.0,1.47,0.7097
31,14,"101.62663650512695,23.759044306618826",大唐玉溪新能源有限公司_向阳山,大唐玉溪新能源有限公司,向阳山,4.95,42.0,5.28,0.6984
4,25,"102.87824096679688,24.078244361727442",中广核玉溪通海风力发电有限公司_五垴山,中广核玉溪通海风力发电有限公司,五垴山,4.8,75.0,4.82,0.6855
28,264,"100.8930779082823,25.32142208922993",华能大理风力发电有限公司祥云分公司_天峰山,华能大理风力发电有限公司祥云分公司,天峰山,19.925,792.0,3.57,0.6825
20,125,"99.85438665774485,26.061594024628203",大唐洱源凤羽风电有限责任公司_骑龙山（含三期）,大唐洱源凤羽风电有限责任公司,骑龙山,14.7,375.0,4.7,0.6789
55,90,"101.43247265285916,25.27065347035726",中广核楚雄牟定风力发电有限公司_凤屯（含二期）,中广核楚雄牟定风力发电有限公司,凤屯,9.9,270.0,5.2,0.6746
10,102,"103.48677945604511,23.57994103899189",云南华电大黑山风力发电有限公司_左美果（含三期）,云南华电大黑山风力发电有限公司,左美果,13.55,306.0,6.0,0.6713
39,57,"103.13758903703057,27.037395577681693",国能巧家新能源有限公司_大赖石山（含五期）,国能巧家新能源有限公司,大赖石山,22.35,171.0,11.22,0.6607
0,43,"101.76978976227517,23.566995044087253",中广核玉溪元江风力发电有限公司_羊岔街（南、北）,中广核玉溪元江风力发电有限公司,羊岔街,16.4,129.0,11.17,0.66
9,27,"103.21588558667173,23.353572139033563",中国水电顾问集团姚安新能源开发有限公司_保顶山（含四期）,中国水电顾问集团姚安新能源开发有限公司,保顶山,18.6,81.0,15.89,0.6576
14,21,"103.905517578125,23.99727358136858",中电投丘北京泰新能源有限公司_老庄科风电场,中电投丘北京泰新能源有限公司,老庄科风电场,4.8,63.0,9.61,0.6556
