交易名称,企业名称,所属集团,电源类型,装机容量MW
乌东德,三峡金沙江云川水电开发有限公司禄劝乌东德电厂,,水电,10200
万年桥燕子坡水电厂,盐津恒力发电有限公司,,水电,128
高利水电站,盈江融发汇丰源水电有限公司,,水电,45
札子水电厂,维西札子河水电开发有限公司,,水电,32
洛它水电,德钦县中吉能源有限责任公司,,水电,60
松山河口-AGC,云南保山腾冲市京能两河水电开发有限责任公司,,水电,168
苏家河口-AGC,云南保山腾冲市京能两河水电开发有限责任公司,,水电,315
托巴水电站,华能澜沧江水电股份有限公司,,水电,1400
大旗电站,红河州西南水电开发有限公司,,水电,640
松坡水电,盈江县勐郎水电有限责任公司,,水电,21
银河水电,盈江县勐郎水电有限责任公司,,水电,12.6
芒牙河一级、（老）水电,云南省盈江县芒牙河水电有限公司,,水电,26.5
吉仁河水电,迪庆藏族自治州发电有限责任公司,,水电,30
别乃河二、三级水电,陇川县闽宏水电有限责任公司,,水电,10.4
曼棍五级水电,文山华亿能源有限公司,,水电,40
大梁子水电,马关大梁子发电有限责任公司,,水电,32
曼棍四级水电,麻栗坡县曼棍水力发电有限公司,,水电,20
自基河水电,泸水坚晟水电发展有限责任公司,,水电,15
古丹河水电,福贡古丹河电力开发有限公司,,水电,24
老窝河四级水电,泸水市泉益水电开发有限责任公司,,水电,25
芭蕉河一级水电,泸水辉力水电发展有限公司,,水电,15
堵堵洛河一级水电,泸水市宏峰水电开发有限公司,,水电,30
堵堵洛河二级水电,泸水市泉德水电开发有限责任公司,,水电,60
腊吐底水电,福贡西能电力发展有限公司,,水电,18.9
勐典河二级水电,德宏州盟滇合水电开发股份有限公司,,水电,45
勐乃河新二级水电,盈江县宏能电力有限公司,,水电,34.5
阿鲁河水电,福贡县恒大水电开发有限公司,,水电,12.6
子楞河水电,福贡县恒大水电开发有限公司,,水电,24
槟榔江增容水电,云南华邦电力开发有限公司,,水电,20
计堵河二级水电,泸水新源计堵河发电有限责任公司,,水电,12.6
浪格洛河水电,贡山县瑞丰水电开发有限公司,,水电,12.6
户撒河四级水电,盈江县秦瑞户撒河电力有限责任公司,,水电,14
双拉河水电,贡山天能水电开发有限公司,,水电,37.5
勐典河新二级水电,盈江县智腾电力有限公司,,水电,24
彩靠河水电,临沧源丰彩靠河电站开发有限公司,,水电,20
芒回水电,临沧源顺水电开发有限公司,,水电,18.9
芭蕉河二级水电,泸水辉力水电发展有限公司,,水电,15
槟榔江老站水电,云南华邦电力开发有限公司,,水电,18.9
滚朋羊一、二级水电,盈江县博海电力有限公司,,水电,44.8
南底河水电,盈江县南底河水电有限责任公司,,水电,20
钻水河水电,盈江县隆辉有限责任公司,,水电,15.6
司岗里、班列水电,沧源司岗里水电开发有限公司,,水电,28.9
花坝子一、二级水电,文山鑫汇源水电开发有限公司,,水电,46
那么果河六级（法果河）水电,文山鑫汇源水电开发有限公司,,水电,19.6
马鹿塘一期水电,文山马鹿塘发电有限责任公司,,水电,100
小白河二级水电,马关县长江水电发展有限责任公司,,水电,32
木笼河二级水电,云南省盈江县龙河水电有限公司,,水电,12.6
东方红三四五级水电,文山盘龙河流域水电开发有限责任公司,,水电,36.5
木笼河三、四、五级水电,盈江木笼河水力发电有限公司,,水电,50
禹功河水电,德钦县龙登水电开发有限公司,,水电,24
谷拉水电,富宁谷拉水电开发有限责任公司,,水电,40
普楼水电,广南阳光水电开发有限责任公司,,水电,20
高河二、三、四级水电,盈江县高河流域电力开发有限公司,,水电,36.8
花椒坡水电,香格里拉市中吉能源有限责任公司,,水电,15
春多乐水电,德钦春多乐水电开发有限公司,,水电,24
濠散卡一级二级水电,盈江县创能水电有限公司,,水电,18
左洛底水电,福贡光远水电开发有限公司,,水电,22.5
弄独河电站,维西龙渡发电有限责任公司,,水电,12.6
茨中河水电,德钦县茨中河水电开发有限公司,,水电,24
万马河三级水电,芒市秦瑞万马河电力开发有限责任公司,,水电,14
勐典河一级水电,德宏秦瑞（集团）电力投资开发有限公司,,水电,18.9
勐乃水电,盈江县大源水电开发有限责任公司,,水电,30
计堵河一级水电,泸水市纳汪水电开发有限公司,,水电,16
利沙底水电,云南福贡华泰电力开发有限公司,,水电,14
咪湖三级水电,马关县尚丰能源发展有限责任公司,,水电,16
木加甲二级水电,福贡丰源水电发展有限公司,,水电,10.3
勐典河三级水电,盈江县勐源电力开发有限责任公司,,水电,48
勐戛河六级水电,盈江县勐源电力开发有限责任公司,,水电,48
马龙河一级、三级水电,云南永德云岭水电开发有限责任公司,,水电,25
斯得河（斯得河尾）水电,国能怒江水电开发有限公司,,水电,24.8
凤凰谷水电,云南南盘江凤凰谷水电开发有限公司,,无,0
兴隆河（大厂、冬瓜坪）水电,香格里拉市绿源水电开发有限责任公司,,水电,32.9
浪都四级水电,香格里拉市民和水电开发有限责任公司,,水电,24
浪都二级水电,香格里拉市民和水电开发有限责任公司,,水电,18.9
浪都一级、浪他涌水电,香格里拉市民和水电开发有限责任公司,,水电,40.5
浪都三级水电,香格里拉市民和水电开发有限责任公司,,水电,18.9
腊门嘎二级水电,云南再峰（集团）怒江乙源水电开发有限责任公司,,水电,15
拉嘎鲁河水电,兰坪县达远电力开发有限公司,,水电,20
嘎拉博二级水电,怒江再峰水电开发有限公司贡山分公司,,水电,48
亚目河三级水电,云南再峰（集团）怒江乙源水电开发有限责任公司福贡分公司,,水电,49.6
茂顶河一级、二级水电,德钦县茂顶河水电开发有限公司,,水电,39.9
良美河二级（药山）水电,香格里拉市良美河梯级电站开发有限责任公司,,水电,460
高良水电,师宗县高良水电有限责任公司,,水电,20
万马河二级水电,芒市秦瑞万马河电力开发有限责任公司,,水电,18.9
良美河三级水电,香格里拉市良美河梯级电站开发有限责任公司,,水电,550
米角河水电,贡山县蓝溪水电开发有限责任公司,,水电,24.9
支那河一、二级水电,盈江县支那河水电站有限公司,,水电,36
仕旺河水电,云南迪庆香格里拉华瑞电力有限公司,,水电,12.6
槟榔江狮子山水电,盈江县明亮商贸有限公司,,水电,24
槟榔江芒康水电,盈江县明亮商贸有限公司,,水电,10.5
统子河水电,迪庆三元岩水电开发有限公司,,水电,24
勐弄河二级水电,云南省盈江县泉发水电有限责任公司,,水电,24
柯公河一级水电,维西柯公电站有限公司,,水电,10
那追水电,广南凌兴水电有限公司,,水电,24.8
其琪普拉电站,云南再峰（集团）怒江乙源水电开发有限责任公司贡山分公司,,水电,48.8
挖苦河二、三级电站,中电(福建)电力开发有限公司盈江鸿福分公司,,水电,32.3
亚目河二级电站,怒江再峰水电开发有限公司福贡分公司,,水电,15
亚目河一级电站,怒江再峰水电开发有限公司福贡分公司,,水电,20
葫芦口电站,梁河县大盈江水电开发有限责任公司,,水电,20
芦塘子水电,马关芦塘子发电有限责任公司,,水电,20
大烟河二级电站,兰坪县资怡水电开发有限公司,,水电,50
勐嘎河三级电站,云南晶辉水电开发有限公司,,水电,42
三转湾水电,国能麻栗坡三转湾发电有限公司,,水电,20
木克基电站,福贡县佳成水电发展有限公司,,水电,35
泽玛河二级电站,福贡县宏达水电开发有限公司,,水电,16
大桥河电站,维西永发水电有限公司,,水电,24
勐戛河五级水电站,盈江县勐戛河流域电力开发有限责任公司,,水电,16
洛爪河（含拉波洛）水电,德钦恒发水电有限公司,,水电,34
南浦河大坪（含新寨、金厂）水电站,马关县南浦河发电有限责任公司,,水电,20
拉嘎洛,迪庆州开发投资集团拉嘎洛发电有限公司,,水电,12.6
勐嘎河二级,德宏州嘉源水电开发有限公司,,水电,30
芒牙河二级,盈江县民瑞水电有限公司,,水电,24.9
金满河,泸水金满河水电开发有限责任公司,,水电,12.6
力士洛河二级,福贡县百河水电开发有限公司,,水电,640
勐弄河三级,盈江县勐弄河三级水电开发有限公司,,水电,15
子里甲,福贡县恒远水电开发有限公司,,水电,80
古泉河水电,福贡县宏源水电开发有限公司,,水电,28
老王庄河二级水电,兰坪亚太环宇水电发展有限公司,,水电,960
上石龙水电,广南县上石龙电站,,水电,20
大烟河一级水电,兰坪县资怡水电开发有限公司,,水电,12.6
三岔河一、二级水电,德钦县恒大水电开发有限公司,,水电,37
小白河一级水电,马关县旮旯河发电有限责任公司,,水电,30
那米河水电,泸水兆润水电开发有限公司,,水电,24
末坡河水电,贡山聚源水电开发有限公司,,水电,12.5
拉木甲水电,福贡利源水电发展有限公司,,水电,16.75
黑白水三级水电,丽江黑白水发电有限公司,,水电,12.6
湄尼多河水电,福贡县恒力水电开发有限公司,,水电,80
岩瓦河水电,维西永丽水电开发有限公司,,水电,24
普仕河二级水电,福贡县国源电力开发有限公司,,水电,10
补党河二级水电,丘北县滇润水电开发有限公司,,水电,640
马俄河水电,怒江浙滇水能开发有限责任公司,,水电,24
金秀谷水电,福贡老屋河水电发展有限公司,,水电,10
古炭河水电,泸水生腾谷电力开发有限公司,,水电,10
隔界河一、二级水电,泸水银河水电开发有限责任公司,,水电,31.5
香柏河一级水电,盈江融发水电有限公司,,水电,12.6
格登水电,大唐迪庆香格里拉电力开发有限公司,,水电,12.6
老屋河二级水电,福贡县芳源水电发展有限公司,,水电,10
拉布罗河水电,福贡县福鑫有限责任公司,,水电,24
黑白水二级水电,古城区大东发电有限公司,,水电,13
香柏河二级水电,盈江香柏发电有限公司,,水电,21
勐嘎河四级电站,盈江县明宇电力开发有限责任公司,,水电,40
南汀河水电,云南储能有限公司,,水电,34
格雷二级水电,云南储能有限公司,,水电,16
落水洞水电,云南储能有限公司,,水电,20
匹河水电站,怒江国力水电发展有限公司,,水电,10
高河一级水电,中电(福建)电力开发有限公司盈江惠民分公司,,水电,21
毛坡河一级,香格里拉市荣顺水电开发有限责任公司,,水电,18
黄家坪水电,文山黄家坪水电开发有限责任公司,,水电,20
土仓电站,盈江县溢沣鑫电力有限公司,,水电,47
猫猫跳水电,文山猫猫跳发电有限责任公司,,水电,40
滚朋羊三级水电站,盈江县正烨滚朋羊三级水电开发有限公司,,水电,17
小河沟水电,云南储能有限公司,,水电,21
丰甸河二级电站,兰坪亚太环宇水电发展有限公司,,水电,12.6
干布、扎利河电站,福贡县恒远水电开发有限公司,,水电,8120
大寨子、南界田水电,云南昌宁恒昌电力有限公司,,水电,28
大勐统水电,云南省永德恒昌电力有限公司,,水电,50
滚朋羊小一级水电,盈江县正烨水电开发有限公司,,水电,13.5
