风电场项目名称（中文）,装机容量(MW),电站类型,经度,纬度,省份
上海东海大桥海上风电扩建项目,45.5,海上固定式,121.9269,30.7768,上海
上海临港海上风电场一期,106,海上固定式,122.1146,30.9045,上海
上海临港海上风电场二期,101,海上固定式,121.8997,30.7779,上海
上海奉贤海上风电场,206,海上固定式,121.8196,30.7566,上海
上海奉贤海湾风电场扩容,15,海上固定式,121.8092,30.7841,上海
上海崇明东滩风电场,15,陆上风电,121.9433,31.5167,上海
上海崇明前卫风电场一期,20,陆上风电,121.605,31.7005,上海
上海崇明前卫风电场二期,40,陆上风电,121.5269,31.7373,上海
上海崇明北沿风电场,48,陆上风电,121.8827,31.58,上海
上海崇明长兴岛风电场,20,陆上风电,121.6928,31.4027,上海
上海崇明青草沙水库风电场一期,48,陆上风电,121.615,31.4426,上海
上海浦东新区临港新城风电场,14,陆上风电,121.8353,30.8662,上海
上海浦东新区老港风电场,20,陆上风电,121.9044,31.035,上海
上海浦东海风力发电浦东东海大桥海上风电项目一期102.2MW发电工程,102,海上固定式,121.9833,31.7667,上海
上海浦东海风力发电浦东东海大桥海上风电项目二期102.2MW发电工程,102,海上固定式,121.9269,30.7768,上海
上海金山海上风电场一期,306,海上固定式,121.436,30.571,上海
华港风力发电上海浦东老港风力项目二期48.0MW发电工程,48,陆上风电,121.9083,31.0232,上海
三峡新能源云南师宗发电曲靖程子山风电场42.0MW发电工程,42,陆上风电,103.8246,24.8632,云南
丘北县锦屏西风电场一期,350,陆上风电,104.1948,24.0402,云南
丘北县锦屏西风电场二期,530,陆上风电,104.1948,24.0402,云南
东川野牛风电场二期项目,48,陆上风电,103.3515,26.0804,云南
中广核云南曲靖宣威三尖山风电场,48,陆上风电,104.4654,26.3121,云南
中广核普洱澜沧甲俫波风电场48.0MW发电工程,48,陆上风电,100.0728,22.4701,云南
中广核玉溪通海五垴山风电场,48,陆上风电,102.7653,24.1127,云南
中水顾问楚雄姚安石楼梯风电场,44,陆上风电,101.3763,25.5239,云南
云南丘北县大龙山风电场,48,陆上风电,103.8543,24.0418,云南
云南丘北县大龙山风电场三期,48,陆上风电,103.8543,24.0418,云南
云南丘北县大龙山风电场二期,48,陆上风电,103.8543,24.0418,云南
云南丘北羊雄山风电场,50,陆上风电,103.8583,24.2501,云南
云南丘北老庄科风电场,48,陆上风电,103.8543,24.0418,云南
云南丘北赶马路风电场,50,陆上风电,103.8626,25.2638,云南
云南个旧莲花山风电项目,42,陆上风电,103.3716,23.3634,云南
云南丽江市七河风电场,50,陆上风电,100.1089,26.6639,云南
云南云龙白龙庙风电场,50,陆上风电,99.193,25.6326,云南
云南元谋雷应山风电场,50,陆上风电,101.9767,25.7399,云南
云南剑川甸南风电场,33,陆上风电,100.0218,26.4786,云南
云南剑川百山母风电场,50,陆上风电,100.0358,26.4437,云南
云南剑川金华风电场,50,陆上风电,99.9967,26.5331,云南
云南剑川雪邦山风电场,50,陆上风电,99.5583,26.3333,云南
云南勐海帕顶梁子风电场,50,陆上风电,100.1078,22.0294,云南
