地区,社会统一信用代码,企业名称,发电类型,装机容量,更新时间,主体名称,站点名称,括号补充信息,原始地址片段,标准化地址,省,市州,区县,乡镇街道,村社区,组社,门牌号,地址来源,查询地址,经度,纬度,定位级别,经纬度可信度,地理编码状态,地理编码消息
云南,91532328067105915E,三峡新能源元谋发电有限公司_天子山,太阳能发电,2,2026/3/31 13:36,三峡新能源元谋发电有限公司,天子山,,天子山,云南省天子山,云南省,,,,,,,站点名,云南省天子山,99.214841,26.077895,standard,0.95,success,ok
云南,91530723316208457R,三峡新能源华坪发电有限公司_密落槽子,太阳能发电,3,2026/3/31 13:37,三峡新能源华坪发电有限公司,密落槽子,,密落槽子,云南省密落槽子,云南省,,,,,,,站点名,云南省密落槽子,101.109337,26.699084,standard,0.95,success,ok
云南,915329240615643956,三峡新能源宾川发电有限公司_干塘子,太阳能发电,3,2026/3/31 13:36,三峡新能源宾川发电有限公司,干塘子,,干塘子,云南省干塘子,云南省,,,,,,,站点名,云南省干塘子,102.715431,25.572214,standard,0.95,success,ok
云南,91532626343707155T,丘北太科光伏电力有限公司_团树,太阳能发电,3,2026/3/31 13:37,丘北太科光伏电力有限公司,团树,,团树,云南省团树,云南省,,,,,,,站点名,云南省团树,100.568926,25.686272,standard,0.95,success,ok
云南,91532326056980175G,中国水电顾问集团大姚新能源开发有限公司_大古衙,太阳能发电,2,2026/3/31 13:37,中国水电顾问集团大姚新能源开发有限公司,大古衙,,大古衙,云南省大古衙,云南省,,,,,,,站点名,云南省大古衙,101.197304,25.824828,standard,0.95,success,ok
云南,915304253162856127,中国水电顾问集团易门新能源有限公司_朝阳,太阳能发电,2.8,2026/3/31 13:37,中国水电顾问集团易门新能源有限公司,朝阳,,朝阳,云南省朝阳,云南省,,,,,,,站点名,云南省朝阳,100.683595,24.937371,standard,0.95,success,ok
云南,91530722343747691G,中国能源建设集团永胜新能源有限公司_四角山,太阳能发电,6,2026/3/31 13:36,中国能源建设集团永胜新能源有限公司,四角山,,四角山,云南省四角山,云南省,,,,,,,站点名,云南省四角山,99.830004,24.631394,standard,0.95,success,ok
云南,91532900083296635N,中电大理(西村)光伏发电有限公司_西村,太阳能发电,10,2026/3/31 13:36,中电大理光伏发电有限公司,西村,西村,西村,云南省西村,云南省,,,,西村,,,括号,云南省西村,102.299804,25.356733,standard,0.95,success,ok
云南,91530723MA6K43GH70,丽江隆基清洁能源有限公司_水子坪,太阳能发电,7.38,2026/3/31 13:37,丽江隆基清洁能源有限公司,水子坪,,水子坪,云南省水子坪,云南省,,,,,,,站点名,云南省水子坪,103.722581,28.207365,standard,0.95,success,ok
云南,915329240863628965,云南大唐国际宾川新能源有限责任公司_老鹰岩（含三期）,太阳能发电,10,2026/3/31 13:37,云南大唐国际宾川新能源有限责任公司,老鹰岩,含三期,老鹰岩,云南省老鹰岩,云南省,,,,,,,站点名,云南省老鹰岩,103.105156,26.021344,standard,0.95,success,ok
云南,91530000676581175P,云南滇能智慧能源有限公司_秀田,太阳能发电,5,2026/3/31 13:36,云南滇能智慧能源有限公司,秀田,,秀田,云南省秀田,云南省,,,,,,,站点名,云南省秀田,100.80059,24.785318,standard,0.95,success,ok
云南,91530922329142741Q,云县汇能发电有限责任公司_干龙潭,太阳能发电,3,2026/3/31 13:37,云县汇能发电有限责任公司,干龙潭,,干龙潭,云南省云县干龙潭,云南省,,云县,,,,,站点名,云南省云县干龙潭,99.915089,24.177873,standard,0.95,success,ok
云南,915304280970829294,元江中电光伏发电有限公司_甘庄,太阳能发电,2,2026/3/31 13:36,元江中电光伏发电有限公司,甘庄,,甘庄,云南省甘庄,云南省,,,,,,,站点名,云南省甘庄,102.002324,23.698585,standard,0.95,success,ok
云南,91530428316202311T,元江中盛太阳能科技有限公司_北泽,太阳能发电,4,2026/3/31 13:36,元江中盛太阳能科技有限公司,北泽,,北泽,云南省北泽,云南省,,,,,,,站点名,云南省北泽,102.73477,25.11425,standard,0.95,success,ok
云南,915323280863897063,元谋中电电气光伏发电有限公司_小西村,太阳能发电,2,2026/3/31 13:36,元谋中电电气光伏发电有限公司,小西村,,小西村,云南省小西村,云南省,,,,小西村,,,站点名,云南省小西村,102.411777,25.551951,standard,0.95,success,ok
云南,91532328323037924G,元谋弘盈新能源发电有限公司_班果,太阳能发电,5,2026/3/31 13:37,元谋弘盈新能源发电有限公司,班果,,班果,云南省班果,云南省,,,,,,,站点名,云南省班果,101.744127,25.76089,standard,0.95,success,ok
云南,91532328351827122K,元谋惠光光伏发电有限公司_芝麻,太阳能发电,5,2026/3/31 13:37,元谋惠光光伏发电有限公司,芝麻,,芝麻,云南省芝麻,云南省,,,,,,,站点名,云南省芝麻,101.797512,25.944466,standard,0.95,success,ok
云南,91532328MA6KJRRC39,元谋瑞能光伏发电有限公司_坡头山,太阳能发电,2,2026/3/31 13:37,元谋瑞能光伏发电有限公司,坡头山,,坡头山,云南省坡头山,云南省,,,,,,,站点名,云南省坡头山,100.112545,24.333927,standard,0.95,success,ok
云南,915323285993387793,元谋绿电新能源开发有限公司_河外,太阳能发电,5,2026/3/31 13:36,元谋绿电新能源开发有限公司,河外,,河外,云南省河外,云南省,,,,,,,站点名,云南省河外,103.027388,25.243384,standard,0.95,success,ok
云南,91533325MA6K359119,兰坪太科光伏电力有限公司_青岩山,太阳能发电,1,2026/3/31 13:37,兰坪太科光伏电力有限公司,青岩山,,青岩山,云南省青岩山,云南省,,,,,,,站点名,云南省青岩山,100.027951,26.472255,standard,0.95,success,ok
云南,91533325MA6K353998,兰坪昌盛太阳能科技有限公司_小暑甸,太阳能发电,5,2026/3/31 13:37,兰坪昌盛太阳能科技有限公司,小暑甸,,小暑甸,云南省小暑甸,云南省,,,,,,,站点名,云南省小暑甸,102.84103,24.84589,standard,0.95,success,ok
云南,91530921329281813D,凤庆县爱康电力有限公司_大兴,太阳能发电,4,2026/3/31 13:37,凤庆县爱康电力有限公司,大兴,,大兴,云南省凤庆县大兴,云南省,,凤庆县,,,,,站点名,云南省凤庆县大兴,99.903586,24.923434,standard,0.95,success,ok
云南,91532822343610548W,勐海协鑫光伏农业电力有限公司_星火山,太阳能发电,3,2026/3/31 13:37,勐海协鑫光伏农业电力有限公司,星火山,,星火山,云南省星火山,云南省,,,,,,,站点名,云南省星火山,99.811231,23.291924,standard,0.95,success,ok
云南,91530723095848097X,华坪协合太阳能发电有限公司_干箐,太阳能发电,5,2026/3/31 13:36,华坪协合太阳能发电有限公司,干箐,,干箐,云南省干箐,云南省,,,,,,,站点名,云南省干箐,103.3523,25.851459,standard,0.95,success,ok
云南,91532900MA6K3XYQ11,华润新能源光伏发电(弥渡)有限公司_石咀,太阳能发电,2,2026/3/31 13:37,华润新能源光伏发电有限公司,石咀,弥渡,石咀,云南省石咀,云南省,,,,,,,站点名,云南省石咀,100.505404,25.319271,standard,0.95,success,ok
