原始图片,设备类型,经度,纬度,匹配场站,最近距离_km,关联依据
103519_55822.jpg,风机,104.3246,25.76304,零星,17.94,在15km范围内未匹配到对应场站
103353_56083.jpg,风机,103.86936,25.115896,株木山,12.7,距离最近(约 12.70 km)
103374_55891.jpg,风机,103.92698,25.59232,零星,15.5,在15km范围内未匹配到对应场站
103338_56116.jpg,风机,103.82705,25.034952,零星,22.45,在15km范围内未匹配到对应场站
103632_55639.jpg,风机,104.63535,26.216757,零星,42.39,在15km范围内未匹配到对应场站
103374_56061.jpg,风机,103.927284,25.17145,株木山,4.23,距离最近(约 4.23 km)
103682_55572.jpg,风机,104.772026,26.37978,零星,65.06,在15km范围内未匹配到对应场站
103389_55914.jpg,风机,103.967514,25.535482,朗目山,12.47,距离最近(约 12.47 km)
103365_56075.jpg,风机,103.90202,25.137432,株木山,8.78,距离最近(约 8.78 km)
103631_55649.jpg,风机,104.632866,26.190315,零星,39.98,在15km范围内未匹配到对应场站
103596_55861.jpg,风机,104.53533,25.667253,零星,32.52,在15km范围内未匹配到对应场站
103586_55868.jpg,风机,104.50969,25.649841,零星,33.04,在15km范围内未匹配到对应场站
103510_55836.jpg,风机,104.30096,25.729183,零星,22.22,在15km范围内未匹配到对应场站
103360_56076.jpg,风机,103.888954,25.133379,株木山,9.94,距离最近(约 9.94 km)
103518_55826.jpg,风机,104.32255,25.753927,零星,18.97,在15km范围内未匹配到对应场站
103632_55638.jpg,风机,104.63605,26.218359,零星,42.57,在15km范围内未匹配到对应场站
103318_56156.jpg,风机,103.772,24.936102,零星,26.76,在15km范围内未匹配到对应场站
103518_55828.jpg,风机,104.322075,25.750029,零星,19.41,在15km范围内未匹配到对应场站
103339_56138.jpg,风机,103.83071,24.979624,零星,27.59,在15km范围内未匹配到对应场站
103623_55695.jpg,风机,104.60954,26.078817,零星,29.79,在15km范围内未匹配到对应场站
103657_55900.jpg,风机,104.702805,25.571049,零星,51.07,在15km范围内未匹配到对应场站
103562_55895.jpg,风机,104.44282,25.58309,零星,38.06,在15km范围内未匹配到对应场站
103632_55648.jpg,风机,104.63437,26.194166,零星,40.4,在15km范围内未匹配到对应场站
103671_55564.jpg,风机,104.74261,26.400557,零星,65.17,在15km范围内未匹配到对应场站
103384_55924.jpg,风机,103.95307,25.510761,朗目山,9.63,距离最近(约 9.63 km)
103640_55902.jpg,风机,104.656975,25.566055,零星,48.64,在15km范围内未匹配到对应场站
103535_55839.jpg,风机,104.3692,25.72106,零星,22.02,在15km范围内未匹配到对应场站
103401_55900.jpg,风机,104.00007,25.570272,零星,17.5,在15km范围内未匹配到对应场站
103327_56151.jpg,风机,103.79853,24.94651,零星,29.65,在15km范围内未匹配到对应场站
103375_56059.jpg,风机,103.92857,25.17596,株木山,3.75,距离最近(约 3.75 km)
103350_56075.jpg,风机,103.86004,25.137669,株木山,11.71,距离最近(约 11.71 km)
103386_55921.jpg,风机,103.96033,25.518398,朗目山,10.72,距离最近(约 10.72 km)
103631_55697.jpg,风机,104.63345,26.073708,零星,31.43,在15km范围内未匹配到对应场站
103546_55822.jpg,风机,104.399284,25.76424,零星,17.46,在15km范围内未匹配到对应场站
103372_55885.jpg,风机,103.92217,25.607103,零星,16.91,在15km范围内未匹配到对应场站
103517_55846.jpg,风机,104.31984,25.704485,零星,24.39,在15km范围内未匹配到对应场站
103370_55912.jpg,风机,103.9153,25.542126,朗目山,9.89,距离最近(约 9.89 km)
103365_55951.jpg,风机,103.901764,25.445045,朗目山,3.3,距离最近(约 3.30 km)
103365_56072.jpg,风机,103.90105,25.145025,株木山,8.17,距离最近(约 8.17 km)
103540_55766.jpg,风机,104.381516,25.902452,光梁子,2.17,距离最近(约 2.17 km)
103608_55427.jpg,风机,104.56949,26.736618,零星,93.05,在15km范围内未匹配到对应场站
103637_55700.jpg,风机,104.64898,26.06624,零星,32.31,在15km范围内未匹配到对应场站
103519_55820.jpg,风机,104.32359,25.76931,零星,17.3,在15km范围内未匹配到对应场站
103337_56118.jpg,风机,103.82537,25.029634,零星,23.04,在15km范围内未匹配到对应场站
103524_55804.jpg,风机,104.33949,25.807884,光梁子,12.74,距离最近(约 12.74 km)
103325_56153.jpg,风机,103.79175,24.941507,零星,28.84,在15km范围内未匹配到对应场站
103370_55947.jpg,风机,103.91501,25.455389,朗目山,4.14,距离最近(约 4.14 km)
103373_55949.jpg,风机,103.92301,25.44902,朗目山,5.08,距离最近(约 5.08 km)
103542_55830.jpg,风机,104.38683,25.744987,零星,19.43,在15km范围内未匹配到对应场站
103628_55631.jpg,风机,104.623535,26.234531,零星,43.25,在15km范围内未匹配到对应场站
103688_56143.jpg,风机,104.78987,24.968338,零星,65.04,在15km范围内未匹配到对应场站
103342_56093.jpg,风机,103.839195,25.092783,零星,16.64,在15km范围内未匹配到对应场站
103641_55699.jpg,风机,104.659485,26.067944,零星,33.32,在15km范围内未匹配到对应场站
103312_56164.jpg,风机,103.757515,24.91449,零星,24.76,在15km范围内未匹配到对应场站
103400_55899.jpg,风机,103.999,25.57252,零星,17.6,在15km范围内未匹配到对应场站
103516_55820.jpg,风机,104.31736,25.768536,零星,17.56,在15km范围内未匹配到对应场站
103319_56151.jpg,风机,103.77471,24.946539,零星,27.37,在15km范围内未匹配到对应场站
103684_56153.jpg,风机,104.77709,24.94337,零星,64.5,在15km范围内未匹配到对应场站
103540_55829.jpg,风机,104.38221,25.747189,零星,19.15,在15km范围内未匹配到对应场站
103683_55568.jpg,风机,104.77553,26.391417,零星,66.3,在15km范围内未匹配到对应场站
103362_56068.jpg,风机,103.89444,25.154947,株木山,7.82,距离最近(约 7.82 km)
103387_56040.jpg,风机,103.961266,25.22281,株木山,2.48,距离最近(约 2.48 km)
103370_55873.jpg,风机,103.91514,25.637844,零星,20.06,在15km范围内未匹配到对应场站
103361_56069.jpg,风机,103.89004,25.151934,株木山,8.38,距离最近(约 8.38 km)
103366_56168.jpg,风机,103.9053,24.904795,零星,33.39,在15km范围内未匹配到对应场站
103697_56130.jpg,风机,104.812645,24.999512,零星,66.59,在15km范围内未匹配到对应场站
103366_56147.jpg,风机,103.90445,24.956738,零星,27.7,在15km范围内未匹配到对应场站
103619_55695.jpg,风机,104.59928,26.078539,零星,28.96,在15km范围内未匹配到对应场站
103326_56170.jpg,风机,103.79359,24.900297,零星,28.09,在15km范围内未匹配到对应场站
103381_56048.jpg,风机,103.94469,25.203812,株木山,0.77,距离最近(约 0.77 km)
103656_55899.jpg,风机,104.70018,25.572327,零星,50.79,在15km范围内未匹配到对应场站
103630_55370.jpg,风机,104.628296,26.877296,零星,89.8,在15km范围内未匹配到对应场站
103628_55665.jpg,风机,104.62533,26.151537,零星,36.3,在15km范围内未匹配到对应场站
103629_55907.jpg,风机,104.62704,25.554314,零星,48.03,在15km范围内未匹配到对应场站
103334_56144.jpg,风机,103.81781,24.965591,零星,29.57,在15km范围内未匹配到对应场站
103379_55870.jpg,风机,103.93936,25.644642,零星,21.41,在15km范围内未匹配到对应场站
103335_56157.jpg,风机,103.82005,24.933187,零星,31.36,在15km范围内未匹配到对应场站
103524_55801.jpg,风机,104.33936,25.81522,光梁子,11.96,距离最近(约 11.96 km)
103631_55654.jpg,风机,104.63352,26.179684,零星,39.14,在15km范围内未匹配到对应场站
103675_55566.jpg,风机,104.752205,26.394526,零星,65.18,在15km范围内未匹配到对应场站
103370_56058.jpg,风机,103.91659,25.179579,株木山,4.36,距离最近(约 4.36 km)
103358_56063.jpg,风机,103.88255,25.166538,株木山,8.04,距离最近(约 8.04 km)
103517_55843.jpg,风机,104.32031,25.713139,零星,23.44,在15km范围内未匹配到对应场站
103365_56151.jpg,风机,103.90185,24.947813,零星,28.72,在15km范围内未匹配到对应场站
103390_55908.jpg,风机,103.96955,25.55174,朗目山,13.88,距离最近(约 13.88 km)
103379_56055.jpg,风机,103.93982,25.186882,株木山,2.1,距离最近(约 2.10 km)
103317_56167.jpg,风机,103.77001,24.908384,零星,25.87,在15km范围内未匹配到对应场站
103329_56143.jpg,风机,103.802986,24.967257,零星,30.12,在15km范围内未匹配到对应场站
103674_56157.jpg,风机,104.74969,24.933605,零星,62.17,在15km范围内未匹配到对应场站
103374_56049.jpg,风机,103.92713,25.20068,株木山,2.52,距离最近(约 2.52 km)
