电场名称,省,市,区,装机容量(MW),所属企业,所属集团
110kV华润北古城光伏电站,,,,100.0,华润新能源(宜良)有限公司,
110kV华润匡远光伏电站,,,,100.0,华润新能源(宜良)有限公司,
110kV华润大兴光伏电站,,,,100.0,华润新能源（昆明西山）有限公司,
110kV华润马街光伏电站,,,,60.0,华润新能源(宜良)有限公司,
110kV南木算光伏电站,,,,62.0,永德县国核勐晟新能源有限公司,
110kV吉安光伏电站,,,,100.0,中广核新能源（西畴）有限公司,
110kV嘎尔村光伏电站,,,,52.16,华电宁蒗新能源开发有限公司,
110kV布老光伏电站,,,,60.0,普洱粤水电能源有限公司,
110kV库南光伏电站,,,,125.0,元谋县晶科电力有限公司,
110kV文海雪花光伏电站,,,,50.0,华润新能源（玉龙）有限公司,
110kV柳树冲光伏电站,,,,120.0,楚雄贝诚能源有限公司,
110kV江头村光伏电站,,,,85.0,龙源大理风力发电有限公司,
110kV湾草坪光伏电站,,,,40.0,怒江州扶贫投资开发有限公司,
110kV灯笼山光伏电站,,,,135.0,玉溪水网新能源有限责任公司,
110kV银匠村光伏电站,,,,160.0,会泽华电道成清洁能源开发有限公司,
110kV长岭岗光伏电站（花椒树）,,,,52.0,宏桥弥勒新能源有限公司,
110kV驮村光伏电站,,,,40.0,中广核新能源（普洱）有限公司,
220kV七河光伏电站,,,,200.0,三峡云能投资（丽江）有限公司,
220kV丙坡光伏电站二期,,,,40.0,新平凌沄新能源有限公司,
220kV云翎光伏电站,,,,110.0,中广核新能源（双柏）有限公司,
220kV公郞光伏电站,,,,95.0,华能澜沧江（南涧）新能源有限公司,
220kV冲子光伏电站（西北勒）,,,,80.0,云南宏桥新能源有限公司,
220kV南盆光伏电站,,,,300.0,华润新能源（景洪）有限公司,
220kV南箐光伏电站,,,,200.0,华润新能源（嵩明）有限公司,
220kV圈内光伏电站,,,,132.0,临沧普综新能源有限公司,
220kV富乐光伏电站,,,,150.0,粤润罗平新能源有限公司,
220kV德益光伏电站,,,,42.88,曲靖中和零碳能源有限公司,
220kV散止光伏电站,,,,150.0,元谋县晶科电力有限公司,
220kV明龙光伏电站,,,,260.0,华能澜沧江(凤庆)新能源有限公司,
220kV月亮湾光伏电站,,,,350.0,中煤绿能（鲁甸）新能源有限公司,
220kV杨柳寨光伏电站（红枣塘）,,,,35.0,宏桥建水新能源有限公司,
220kV松桂东庄光伏电站,,,,80.0,中电工程（鹤庆）新能源有限公司,
220kV林家村光伏电站,,,,540.0,华电南华新能源开发有限公司,
220kV永顺光伏电站,,,,100.0,云绿能（凤庆）新能源开发有限公司,
220kV潘古里光伏电站,,,,140.0,云绿能（永仁）新能源开发有限公司,
220kV玉尺光伏电站,,,,250.0,双柏滇能智慧能源有限公司,
220kV白玉光伏电站,,,,340.0,保山市隆阳中能建投新能源有限公司,
220kV白草坪光伏电站,,,,87.0,三峡云能发电（宁蒗）有限公司,
220kV程铁村光伏电站,,,,255.0,华能华东（普洱）清洁能源有限公司,
220kV羊厂光伏电站,,,,100.0,京能（寻甸）新能源有限公司,
220kV顺宁光伏电站,,,,390.0,华能澜沧江(凤庆)新能源有限公司,
220kV鱼和光伏电站,,,,220.0,华能保山清洁能源有限公司,
220kV黑泥坡光伏电站,,,,200.0,华宁县乾润新能源有限公司,
35kV云朗光伏电站,,,,30.0,云绿能（景洪）新能源开发有限公司,
35kV姚家村光伏电站,,,,30.0,祥云龙源新能源有限公司,
35kV宝山光伏电站,,,,50.0,华润新能源（玉龙）有限公司,
35kV朱家寨南光伏电站,,,,38.0,元江聚源新能源有限公司,
35kV海西光伏电站,,,,20.0,华润新能源（玉龙）有限公司,
35kV行寨光伏电站,,,,25.0,国能峨山新能源有限公司,
35kV迷达扶贫光伏电站,,,,40.0,丘北天朗光伏发电有限公司,
35kV适中光伏电站,,,,25.0,姚安瑞海新能源开发有限公司,
35kV香花岭光伏电站,,,,24.0,富源云伊电投新能源有限公司,
500kV老挝中广核达云光伏电站,,,,1000.0,中广核老挝达云发电独资有限公司,
一颗桩光伏,,,,90.0,龙源大理风力发电有限公司,
万德村光伏（新）,,,,295.0,中电建（武定）新能源有限公司,
万格梁子光伏（宁蒗牦牛坪）,,,,105.0,三峡云能发电（宁蒗）有限公司,
三丘田光伏,,,,247.0,华能华东（普洱）清洁能源有限公司,
三岔沟光伏,,,,130.0,永德汇科新能源有限公司,
三峡岩淜光伏（大营镇岩淜光伏）,,,,100.0,三峡新能源宾川发电有限公司,
三折箐光伏,,,,87.17,国能鹤庆新能源有限公司,
三龙潭光伏,,,,60.0,三峡云能发电（宁蒗）有限公司,
