序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态,搜索关键词,经度,纬度,地理编码结果
1,七河光伏电站,马关七河光伏发电项目,,云南省,文山州,马关县,云南省丽江市古城区七河镇后山村委会果美村小组、前山村委会石镜头村小组,七河光伏发电项目,,,中,待核实,跳过,马关七河光伏发电项目 详细地址,,,skipped: 确信度为空或待核实
2,一颗桩光伏,南华独田箐光伏发电站,90,云南省,楚雄州,南华县,云南省楚雄州南华县一街乡平掌村及田房村,独田箐光伏发电站,https://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202203/t20220307_238004.html,90MW,https://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202203/t20220307_238004.html,高,地理编码成功,云南省楚雄州南华县独田箐,101.080882,25.081508,success: province_city_district_detail
3,万德村光伏（新）,武定万德村光伏发电项目,150,云南省,楚雄州,武定县,云南省楚雄州武定县狮山镇东南部（面积约3900亩，分2个片区）,万德村光伏发电项目,,150MW,,高,地理编码成功,万德镇,102.17084,26.00272,success: detail_address
4,团结光伏,云龙团结光伏发电项目,,云南省,大理州,云龙县,关坪乡新荣村,团结光伏电站,https://www.docin.com/p-4525561870.html,,https://www.docin.com/p-4525561870.html,高,地理编码成功,关坪乡新荣村,99.488842,25.90344,success: detail_address
5,石林光伏电站（一期）,石林太阳能大型并网光伏电站实验示范项目,166,云南省,昆明市,石林县,云南省昆明市石林彝族自治县石林镇（科普区：北小村66MW；实验示范区：老挖村100MW）,石林太阳能大型并网光伏电站实验示范项目,https://finance.sina.com.cn/roll/20090819/10053020079.shtml,166MW,https://finance.sina.com.cn/roll/20090819/10053020079.shtml,高,地理编码成功,云南省昆明市石林县石林镇,103.40337,24.70785,success: province_city_district_detail
6,石林光伏电站（二期）,石林太阳能大型并网光伏电站实验示范项目（二期）,,云南省,昆明市,石林县,石林镇,,与一期合并,,,,跳过,,,,skipped: 确信度为空或待核实
7,石屏光伏电场,石屏光伏扶贫电站,3.1,云南省,红河州,石屏县,多个乡镇,石屏县光伏扶贫电站,https://guangfu.bjx.com.cn/news/20191231/1032707.shtml,3.1MW,,https://guangfu.bjx.com.cn/news/20191231/1032707.shtml,地理编码成功,云南省红河州石屏县多个乡镇,102.48503,23.7103,success: province_city_district_detail
8,元谋光伏,元谋天子山/班果光伏电站,20+50,云南省,楚雄州,元谋县,平田乡/元马镇,元谋天子山光伏电站,https://www.bidcenter.com.cn/newscontent-12916726-1.html,20MW+50MW（班果）,https://www.bidcenter.com.cn/newscontent-12916726-1.html,高,地理编码成功,平田乡/元马镇,101.77366,25.755,success: detail_address
9,永仁光伏,永仁华电/观音岩光伏电站,40+100,云南省,楚雄州,永仁县,维的乡/莲池乡,永仁观音岩光伏电站,https://guangfu.bjx.com.cn/news/20210719/1164538.shtml,40MW+100MW+530MW,https://guangfu.bjx.com.cn/news/20210719/1164538.shtml,高,地理编码成功,维的乡/莲池乡,101.63614,26.1467,success: detail_address
10,宾川光伏,宾川干塘子光伏电站,30,云南省,大理州,宾川县,云南省大理州宾川县力角镇干塘子村以东，海拔1577-1788米,宾川干塘子光伏电站,http://pvyuan.com/gf_price_details?id=413,30MW,http://pvyuan.com/gf_price_details?id=413,高,地理编码成功,力角镇,100.58676,25.92581,success: detail_address
