交易名称,企业名称,所属集团,电源类型,装机容量MW
尖山营光伏电站（田心光伏电站）,大唐武定新能源有限责任公司,,光伏,100
盈江光伏电站,国能盈江新能源有限公司,,光伏,150
团山光伏电站（小湾农牧光伏）,华能澜沧江(临沧)新能源有限公司,,光伏,40
大姚石板箐（启兴光伏）,中广核楚雄大姚风力发电有限公司,,光伏,200
立竜（永仁观音岩光伏）,永仁华电新能源开发有限公司,,光伏,100
三峡岩淜光伏（大营镇岩淜光伏）,三峡新能源宾川发电有限公司,,光伏,100
庆华村光伏电站,龙源大理风力发电有限公司,,光伏,30
新发光伏（新发药光互补光伏）,华润新能源(宜良)有限公司,,光伏,120
升发光伏（撒永山光伏）,华电禄劝新能源开发有限公司,,光伏,250
铁城坡（前所农光互补）,宾川华电新能源有限公司,,光伏,80
何元光伏（施甸中光伏）,施甸华电新能源开发有限公司,,光伏,100
东明光伏,兰坪华电新能源开发有限公司,,光伏,100
营盘山光伏,大唐思茅新能源有限公司,,光伏,50
龙口光伏,宾川中碳清洁能源有限公司,,光伏,150
小石岩光伏（平远光伏）,华能清洁能源(文山砚山)有限公司,,光伏,120
荣华光伏（泸水华电）,华电泸水新能源开发有限公司,,光伏,65
大龙潭三期,华能新能源（洱源）有限公司,,光伏,29.5
井东湾光伏电站（均华光伏）,鹤庆中能建新能源有限公司,,光伏,190
热水光伏,曲靖宣威国电新能源科技有限公司,,光伏,149.94
公种田光伏,云南电建新能源开发有限公司,,光伏,53
西街口光伏三期,华能新能源石林光伏发电有限公司,,光伏,54
香竹林农业光伏电站,耿马汇能新能源有限公司,,光伏,159.375
横山光伏电站（西邑东、蒲缥、横山））,华能保山清洁能源有限公司,,光伏,400
罗明光伏（联合、罗明、杨柳）,华能保山清洁能源有限公司,,光伏,700
普乐村光伏电站,中电建（陆良）新能源有限公司,,光伏,50
永胜桥（大平地）,大唐（大姚）新能源开发有限公司,,光伏,200
木古兰光伏,中电建（弥渡）新能源有限公司,,光伏,40
雄里坡光伏,华能新能源（祥云）有限公司,,光伏,100
荞地光伏电站（巧家海坝）,三峡云能巧家发电有限公司,,光伏,240
石垭口光伏（巧家小羊窝）,三峡巧家新能源有限公司,,光伏,80
弥兴光伏,三峡云投发电（姚安）有限公司,,光伏,297.3
小芦山光伏（普洱大地光伏）,华能澜沧江(普洱)新能源有限公司,,光伏,100
帕岭光伏（景东江边）,华能澜沧江(普洱)新能源有限公司,,光伏,78
老鹰岩四期（老务坪）,云南大唐国际宾川新能源有限责任公司,,光伏,50
平河光伏,大唐芒市新能源开发有限公司,,光伏,50
塘坡光伏（大理新松坡）,华能澜沧江(大理)新能源有限公司,,光伏,120
阿柱田光伏（阿柱田、爱华、石门坎）,华能澜沧江(云县)新能源有限公司,,光伏,425
菱角光伏,华能清洁能源（曲靖沾益）有限公司,,光伏,100
三龙潭光伏,三峡云能发电（宁蒗）有限公司,,光伏,60
凤代光伏（清水朗山）,云南云龙国电电力新能源有限公司,,光伏,200
万格梁子光伏（宁蒗牦牛坪）,三峡云能发电（宁蒗）有限公司,,光伏,105
火红马路,三峡云能发电（会泽）有限公司,,光伏,150
幸福桥光伏（大栗坪）,华能澜沧江（鹤庆）新能源有限公司,,光伏,500
干口光伏,华能澜沧江(凤庆)新能源有限公司,,光伏,60
大朝山西林业光伏,云县乾润新能源有限公司,,光伏,300
白子寨光伏,兰坪亚太环宇水电发展有限公司,,光伏,15
瓦厂光伏,华能澜沧江(大理)新能源有限公司,,光伏,86
东老光伏,耿马鼎泰新能源有限公司,,光伏,95
松林山光伏,临沧核祥新能源有限公司,,光伏,120
棠梨树,华能澜沧江（永平）新能源有限公司,,光伏,80
山心光伏,大唐(丘北)新能源有限公司,,光伏,30
马路坡光伏,寻甸华电新能源开发有限公司,,光伏,192.85
罗文光伏,华能南华风力发电有限公司,,光伏,100
红土地光伏,三峡新能源永胜县有限公司,,光伏,435
旧市光伏,五凌新平新能源有限公司,,光伏,18.8
园子沟光伏,华能澜沧江(大理)新能源有限公司,,光伏,60
南头山二期,信云光能（曲靖）有限公司,,光伏,100
秧田箐（新村）,中广核楚雄牟定风力发电有限公司,,光伏,202
秀水井光伏,三峡巧家新能源有限公司,,光伏,20
朝阳村光伏,国能祥云新能源有限公司,,光伏,100
芦子村光伏,国能祥云新能源有限公司,,光伏,50
石腊光伏,永仁华电新能源开发有限公司,,光伏,125
桃园光伏,华能新能源（禄丰）有限公司,,光伏,220
花鱼洞光伏,中电建（弥渡）新能源有限公司,,光伏,25
木楠光伏,泸水汇能新能源有限公司,,光伏,75
中元光伏,泸水汇能新能源有限公司,,光伏,31
永和光伏,华能澜沧江(沧源)新能源有限公司,,光伏,20
白沟林光伏,三峡巧家新能源有限公司,,光伏,200
塘坡光伏（酸坡树）,华能澜沧江(大理)新能源有限公司,,光伏,80
藤蔑山光伏,华能澜沧江(勐腊)新能源有限公司,,光伏,220
红花山光伏,大唐(丘北)新能源有限公司,,光伏,115
南弄光伏,华能澜沧江(勐海)新能源有限公司,,光伏,110
蒋家坡光伏,三峡新能源云南师宗发电有限公司,,光伏,316
大雪山光伏,三峡新能源永德县有限公司,,光伏,173.7
爱华镇光伏,三峡新能源(云县)有限公司,,光伏,100
白土光伏,三峡新能源峨山县有限公司,,光伏,500
李家包包光伏,会泽华电道成清洁能源开发有限公司,,光伏,103
云峰村光伏,会泽华电道成清洁能源开发有限公司,,光伏,182
大栗坪Ⅱ期光伏,华能新能源（鹤庆）有限公司,,光伏,150
鲁家箐光伏,禄丰市浩裕光伏发电有限公司,,光伏,80
丙坡光伏,五凌新平新能源有限公司,,光伏,200
海子山光伏,三峡云能发电（永善）有限公司,,光伏,200
益州光伏,勐海金能新能源有限责任公司,,光伏,50
班庄光伏,信云光能（曲靖）有限公司,,光伏,150
石板箐光伏,中广核楚雄大姚风力发电有限公司,,光伏,200
佑雅光伏,华能新能源（泸水）有限公司,,光伏,50
小禹石沙光伏,华润新能源(易门)有限公司,,光伏,110
塘房光伏,中广核玉溪元江风力发电有限公司,,光伏,270
马头村光伏,易门龙源新能源有限公司,,光伏,230
竹溪光伏,云南滇能智慧能源有限公司禄丰分公司,,光伏,40
河湾光伏,华能保山清洁能源有限公司,,光伏,280
中古坪光伏,华电宁蒗新能源开发有限公司,,光伏,100
安乐光伏,大唐牟定新能源有限公司,,光伏,142
曼外光伏,云绿能（勐海）新能源开发有限公司,,光伏,70
