省,市,县,电场名称,装机容量,所属企业
云南省,,,对门山风电场,48,云南弥勒石洞山发电有限公司
云南省,,,新屯风电场,131.25,曲靖云能通泉北电力开发有限责任公司
云南省,,,苏撒坡风电场,50,中电(昆明)新能源发电有限公司
云南省,,,金牛山风电场,112.25,中广核曲靖宣威风力发电有限公司
云南省,,,卫泸风电场,94.65,弥勒云能投新能源开发有限公司
云南省,,,弥勒东风电场,135.85,弥勒云能投新能源开发有限公司
云南省,,,桃子树风电场,200,大唐芒市新能源开发有限公司
云南省,,,沙坡风电场,13.4,富源云伊电投新能源有限公司
云南省,,,紫玛风电场,56.25,华电宁蒗新能源开发有限公司
云南省,,,红河老尖山风电场,131.25,红河云能投新能源开发有限公司
云南省,,,阿朝风电场,104.55,红河云能投新能源开发有限公司
云南省,,,三道景风电,78.6,中广核楚雄大姚风力发电有限公司
云南省,,,严峰山风电,200,会泽云能投新能源开发有限公司
云南省,,,中营风电,80,华润新能源(宜良)有限公司
云南省,,,云海风电,90,中广核新能源(麻栗坡)有限公司
云南省,,,冒天水风电场,400,曲靖滇能零碳能源开发有限公司
云南省,,,凤凰风电,45,中广核新能源(麻栗坡)有限公司
云南省,,,剑角峰风电场,25,云南华电大黑山风力发电有限公司
云南省,,,剑角峰风电,300,云南华电大黑山风力发电有限公司
云南省,,,哈科迪梁子风电场,0,新平凌沄新能源有限公司
云南省,,,回龙梁子风电,100,会泽云能投新能源开发有限公司
云南省,,,基洛山风电,100,三峡新能源发电(弥勒)有限责任公司
云南省,,,大海梁子风电,50.4,会泽云能投新能源开发有限公司
云南省,,,富源北光梁子风电,130,华能清洁能源（曲靖富源）有限公司
云南省,,,巨龙梁风电,100,大唐云南新能源有限公司
云南省,,,平坝风电,96,大唐新能源（文山）有限公司
云南省,,,平河风电场,0,大唐芒市新能源开发有限公司
云南省,,,弥勒东风电,250,红河云能投新能源开发有限公司
云南省,,,弯子坡风电场,250,师宗聚合风力发电有限公司
云南省,,,待补风电,271.6,华电（曲靖）新能源开发有限公司
