电场名称,省,市,区,装机容量(MW),所属企业,所属集团
110kV对门山风电场,,,,48.0,云南弥勒石洞山发电有限公司,
110kV新屯风电场,,,,131.25,曲靖云能通泉北电力开发有限责任公司,
110kV联珠风电场（联兴）,,,,50.0,大唐新平新能源有限公司,
110kV苏撒坡风电场（扩建）,,,,50.0,中电(昆明)新能源发电有限公司,
110kV金牛山风电场,,,,112.25,中广核曲靖宣威风力发电有限公司,
220kV卫泸风电场,,,,94.65,弥勒云能投新能源开发有限公司,
220kV弥勒东风电场（扩建）,,,,135.85,弥勒云能投新能源开发有限公司,
220kV桃子树风电场,,,,200.0,大唐芒市新能源开发有限公司,
220kV沙坡风电场,,,,13.4,富源云伊电投新能源有限公司,
220kV紫玛风电场,,,,56.25,华电宁蒗新能源开发有限公司,
220kV红河老尖山风电场（扩建）,,,,131.25,红河云能投新能源开发有限公司,
220kV阿朝风电场（扩建）,,,,104.55,红河云能投新能源开发有限公司,
七棵树、多依树,,,,193.6,建水新天风能有限公司,其他
三月山,,,,48.0,国投楚雄风电有限公司,国投电力
三道景风电,云南省,,,78.6,中广核楚雄大姚风力发电有限公司,
严峰山风电,云南省,,,200.0,会泽云能投新能源开发有限公司,
中营风电,云南省,,,80.0,华润新能源(宜良)有限公司,
云海风电,云南省,,,90.0,中广核新能源(麻栗坡)有限公司,
五台山（含三期）,,,,136.0,云南丰晟电力有限公司,国家电力投资集团
五垴山,,,,48.0,中广核玉溪通海风力发电有限公司,中广核
五垴山风电场,云南省,玉溪市,通海县,40.0,中广核风电有限公司,
五子坡（含三期）,,,,148.5,华能大理风力发电有限公司,华能集团
仓房,,,,48.0,会泽协合风力发电有限公司,三峡集团
他期口风电场,云南省,红河州,蒙自市,100.0,淮河能源（集团）股份有限公司,
仙人洞,,,,46.5,云南滇能智慧能源有限公司,国家电力投资集团
仙人洞（新投南区）,,,,200.0,开远聚隆新能源开发有限公司,
保顶山（含四期）,,,,186.0,中国水电顾问集团姚安新能源开发有限公司,中国电建集团
光梁子,,,,48.0,华能云南富源风电有限责任公司,华能集团
冒天水风电场,云南省,,,400.0,曲靖滇能零碳能源开发有限公司,
冷泉风电场,云南省,红河州,蒙自市,77.0,云南宏桥新能源有限公司,
凤凰风电,云南省,,,45.0,中广核新能源(麻栗坡)有限公司,
凤屯（含二期）,,,,99.0,中广核楚雄牟定风力发电有限公司,中广核
剑角峰风电,云南省,,,300.0,云南华电大黑山风力发电有限公司,
剑角峰风电场,云南省,,,25.0,云南华电大黑山风力发电有限公司,
剑角峰风电场（扩建）,,,,25.0,云南华电大黑山风力发电有限公司,
卓干山,,,,36.0,国电电力云南禄劝风电开发有限公司,国家能源投资集团
南庄风电场,云南省,红河州,建水县,18.75,国投新能源（红河）股份有限公司,
卢金山风电场,云南省,红河州,蒙自市,55.0,淮河能源（集团）股份有限公司,
卫泸风电场,云南省,,,94.65,弥勒云能投新能源开发有限公司,
双龙风电场,云南省,玉溪市,峨山县,37.5,华润新能源（易门）有限公司,
向阳山,,,,49.5,大唐玉溪新能源有限公司,大唐集团
