序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态
1,七棵树、多依树,建水七棵树风电场,193.6,云南省,红河州,建水县,,新天绿色能源云南建水七棵树风电场,https://news.bjx.com.cn/html/20160425/727565.shtml,193.6MW,https://news.bjx.com.cn/html/20160425/727565.shtml,高,已完成
2,三月山,武定三月山风电场,48,云南省,楚雄州,武定县,,武定三月山风电场48MW工程,https://www.bidcenter.com.cn/newscontent-19406727-1.html,48MW,https://www.bidcenter.com.cn/newscontent-19406727-1.html,高,已完成
3,中营风电,宜良中营风电场,80,云南省,昆明市,宜良县,,华润电力云南公司宜良中营风电场,https://m.bjx.com.cn/mnews/20230728/1322227.shtml,80MW,https://m.bjx.com.cn/mnews/20230728/1322227.shtml,高,已完成
4,云海风电,云南麻栗坡云海风电场,100,云南省,文山州,麻栗坡县,,中广核新能源云南云海风电场,https://www.dlzb.com/d-zb-42258472.html,100MW,https://news.sina.com.cn/zx/gj/2025-05-11/doc-ineweumx2276168.shtml,高,已完成
5,五台山（含三期）,曲靖五台山风电场,136,云南省,曲靖市,麒麟区,,云南五台山136MW风电项目,https://news.bjx.com.cn/html/20160318/717212.shtml,136MW,https://m.bjx.com.cn/mnews/20141029/558973.shtml,高,已完成
6,五垴山,通海五垴山风电场,48,云南省,玉溪市,通海县,,云南省玉溪市通海县五垴山风电场项目,https://www.docin.com/p-1281141894.html,48MW,https://www.docin.com/p-1281141894.html,高,已完成
7,五子坡（含三期）,华能大理五子坡风电场,148.5,云南省,大理州,,,华能大理五子坡148.5MW风电工程,https://wind.in-en.com/html/wind-2251192.shtml,148.5MW,https://guangfu.bjx.com.cn/b2b/News/518730/news_view.html,高,已完成
8,仙人洞,仙人洞坡风电场,350,云南省,红河州,开远市,,开远市仙人洞坡风电场,https://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202203/t20220307_238004.html,350MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_632645b2a6514152,高,已完成
9,冒天水风电场,富源西风电场（冒天水片区）,100,云南省,曲靖市,富源县,,富源西风电场二期(冒天水片区),https://wind.imarine.cn/news/20943.html,100MW,https://wind.imarine.cn/news/20943.html,高,已完成
10,凤凰风电,凤凰风电场,45,云南省,,,,"未找到明确的云南凤凰风电场（45MW）",https://www.sohu.com/a/856132551_121956424,,,低,已完成
11,剑角峰风电场,开远剑角峰风电场,300,云南省,红河州,开远市,,开远剑角峰风电场,http://www.cpnn.com.cn/qiye/fadianPD2023/202307/t20230710_1616261.html,300MW,http://www.cpnn.com.cn/qiye/fadianPD2023/202307/t20230710_1616261.html,高,已完成
12,大海梁子风电,会泽大海梁子风电场,48,云南省,曲靖市,会泽县,,会泽大海梁子风电场,https://wind.in-en.com/html/wind-2317325.shtml,48MW,https://wind.in-en.com/html/wind-2317325.shtml,高,已完成
13,冷泉风电场,风吹山风电场,77,云南省,保山市,施甸县,,风吹山风电场,https://news.bjx.com.cn/html/20230811/1325160.shtml,77MW,https://news.bjx.com.cn/html/20230811/1325160.shtml,高,已完成
14,大风坝,华能大理大风坝风电场,48,云南省,大理州,大理市,,华能港灯大理大风坝风电场,https://www.big-bit.com/news/40245.html,48MW,https://m.bjx.com.cn/mnews/20081110/155091.shtml,高,已完成
15,大黑山风电场,开远大黑山风电场,270,云南省,红河州,开远市,,大黑山风电场,https://news.bjx.com.cn/html/20150715/641953.shtml,270MW,https://news.bjx.com.cn/html/20150715/641953.shtml,高,已完成
