交易名称,企业名称,所属集团,电源类型,装机容量MW
罗平西一期（阿岗片区）,国能龙源罗平新能源有限公司,,风电,50
苏撒坡风电场（二期）（马桑井）,中电(昆明)新能源发电有限公司,,风电,50
将军山三期（火特风电场）,中电建（华宁）新能源开发有限公司,,风电,100
大绿山（文兴北区）,中广核曲靖宣威风力发电有限公司,,风电,52.2
起则风电场,中广核玉溪华宁风力发电有限公司,,风电,100
老古山风电场,曲靖滇能零碳能源开发有限公司,,风电,400
冒天水风电场,曲靖滇能零碳能源开发有限公司,,风电,400
剑角峰风电,云南华电大黑山风力发电有限公司,,风电,300
猴子山风电场,华电个旧新能源发电有限公司,,风电,200
竹子山风电（株木山）,曲靖龙源新能源有限公司,,风电,212.8
仙人洞（新投南区）,开远聚隆新能源开发有限公司,,风电,200
梅塘风电（仙人洞北区）,开远聚隆新能源开发有限公司,,风电,150
温泉岭（丹凤东区）,师宗聚合风力发电有限公司,,风电,50
西泽风电场,云南宣威国电新能源开发有限公司,,风电,210
基洛山风电,三峡新能源发电(弥勒)有限责任公司,,风电,100
竹园西风电,三峡新能源发电(弥勒)有限责任公司,,风电,450
通泉风电场,马龙云能投新能源开发有限公司,,风电,300
舍得风电场,大唐(丘北)新能源有限公司,,风电,363
蜜蜂山风电场,大唐(丘北)新能源有限公司,,风电,286.5
弯子坡风电场（丹凤）,师宗聚合风力发电有限公司,,风电,250
老路梁子风电,大唐永善风电有限责任公司,,风电,66
巨龙梁风电,大唐云南新能源有限公司,,风电,100
云海风电,中广核新能源(麻栗坡)有限公司,,风电,90
富源北光梁子风电,华能清洁能源（曲靖富源）有限公司,,风电,130
老尖山风电,红河云能投新能源开发有限公司,,风电,130
昔腊嘟风电,华能清洁能源(曲靖宣威)有限公司,,风电,220.8
待补风电,华电（曲靖）新能源开发有限公司,,风电,271.6
中营风电,华润新能源(宜良)有限公司,,风电,80
盘江风电,华能清洁能源（曲靖沾益）有限公司,,风电,180
阿岗风电,国能龙源罗平新能源有限公司,,风电,160
金龙山风电,大唐(丘北)新能源有限公司,,风电,208.25
阿朝风电,红河云能投新能源开发有限公司,,风电,370
大中山二期,大姚云能投新能源开发有限公司,,风电,50
凤凰风电,中广核新能源(麻栗坡)有限公司,,风电,45
弥勒东风电,红河云能投新能源开发有限公司,,风电,250
金槽风电,华电（曲靖）新能源开发有限公司,,风电,99.7
三道景风电,中广核楚雄大姚风力发电有限公司,,风电,78.6
文兴风电,中广核曲靖宣威风力发电有限公司,,风电,212.8
麦子箐风电,大唐新能源(马关)有限公司,,风电,100
严峰山风电,会泽云能投新能源开发有限公司,,风电,200
回龙梁子风电,会泽云能投新能源开发有限公司,,风电,100
龙海古风电,国能元谋新能源有限公司,,风电,52
阿用风电,大唐新能源富宁有限公司,,风电,200
大海梁子风电（金钟2期）,会泽云能投新能源开发有限公司,,风电,50.4
菲古风电,大唐新能源（文山）有限公司,,风电,104
平坝风电,大唐新能源（文山）有限公司,,风电,96
老西山风电,三峡云投发电(大姚)有限责任公司,,风电,100
剑角峰风电场（扩建）,云南华电大黑山风力发电有限公司,,风电,25
110kV对门山风电场,云南弥勒石洞山发电有限公司,,风电,48
220kV紫玛风电场,华电宁蒗新能源开发有限公司,,风电,56.25
220kV卫泸风电场,弥勒云能投新能源开发有限公司,,风电,94.65
220kV弥勒东风电场（扩建）,弥勒云能投新能源开发有限公司,,风电,135.85
220kV红河老尖山风电场（扩建）,红河云能投新能源开发有限公司,,风电,131.25
220kV阿朝风电场（扩建）,红河云能投新能源开发有限公司,,风电,104.55
110kV新屯风电场,曲靖云能通泉北电力开发有限责任公司,,风电,131.25
220kV桃子树风电场,大唐芒市新能源开发有限公司,,风电,200
220kV沙坡风电场,富源云伊电投新能源有限公司,,风电,13.4
110kV苏撒坡风电场（扩建）,中电(昆明)新能源发电有限公司,,风电,50
110kV金牛山风电场,中广核曲靖宣威风力发电有限公司,,风电,112.25
110kV联珠风电场（联兴）,大唐新平新能源有限公司,,风电,50
大风坝,华能港灯大理风力发电有限公司,华能集团,风电,48
漕涧梁子（含二期）,华能大理风力发电有限公司云龙分公司,华能集团,风电,99
天峰山,华能大理风力发电有限公司祥云分公司,华能集团,风电,199.25
沙帽山（含二期）,华能大理风力发电有限公司巍山分公司,华能集团,风电,96
野牛（含二期）,国投云南新能源有限公司,国投电力,风电,96
野猫山（含三期）,华能澜沧江祥云风电有限公司,华能集团,风电,135
哈科迪,新平风能风之子风电有限公司,国家电力投资集团,风电,49.5
帕顶梁子,中广核西双版纳勐海风力发电有限公司,中广核,风电,69.5
大坪子,大唐永善风电有限责任公司,大唐集团,风电,49.5
三月山,国投楚雄风电有限公司,国投电力,风电,48
甲俫波,中广核普洱澜沧风力发电有限公司,中广核,风电,48
大中山,大姚云能投新能源开发有限公司,云南能源投资,风电,40
五垴山,中广核玉溪通海风力发电有限公司,中广核,风电,48
高本山,大唐云南新能源有限公司,大唐集团,风电,49.5
卓干山,国电电力云南禄劝风电开发有限公司,国家能源投资集团,风电,36
老尖山,大姚云能投新能源开发有限公司,云南能源投资,风电,48
苏撒坡,中电(昆明)新能源发电有限公司,中电中国,风电,49.5
金铜盆（含二期）,云南国电电力富民风电开发有限公司,国家能源投资集团,风电,80
朵古,华电蒙自新能源发电有限公司,华电集团,风电,49.5
大莫古,云南龙源新能源有限公司,国家能源投资集团,风电,49.5
朗目山,大唐新能源曲靖市麒麟区风力发电有限公司,大唐集团,风电,49.5
联珠,大唐普洱新能源有限公司,大唐集团,风电,49.5
者磨山,水电十四局大理聚能投资有限公司,中国电建集团,风电,45.75
磨豆山,中广核玉溪华宁风力发电有限公司,中广核,风电,48
莲花山,华电(云南)新能源发电有限公司个旧分公司,华电集团,风电,42
马厂,华能大理风力发电有限公司鹤庆分公司,华能集团,风电,49.5
牦牛坪,华电(云南)新能源发电有限公司丽江分公司,华电集团,风电,99
罗平山,大唐洱源风电有限责任公司,大唐集团,风电,48.75
对门梁子,马龙云能投新能源开发有限公司,云南能源投资,风电,90
仙人洞,云南滇能智慧能源有限公司,国家电力投资集团,风电,46.5
百花山,云南湘电众佳新能源有限公司,湘电集团,风电,48
老青山,云南滇能智慧能源有限公司,国家电力投资集团,风电,49.5
尼白木克,红河石屏盛唐新能源有限公司,大唐集团,风电,49.5
仓房,会泽协合风力发电有限公司,三峡集团,风电,48
大绿山,中广核曲靖宣威风力发电有限公司,中广核,风电,48
株木山,云南龙源新能源有限公司,国家能源投资集团,风电,150
彝山,中广核楚雄牟定风力发电有限公司,中广核,风电,152.5
洗羊塘,巧家天巧风电有限公司,其他,风电,49.5
白泥井,会泽协合风力发电有限公司,三峡集团,风电,32
陡坡梁子,马龙协合风力发电有限公司,三峡集团,风电,47.5
