原始图片,省,市,经度,纬度,POI
103519_55822.jpg,云南省,曲靖市,104.3246,25.76304,一把伞
103353_56083.jpg,云南省,曲靖市,103.86936,25.115896,小石角山
103374_55891.jpg,云南省,曲靖市,103.92698,25.59232,花箐梁子
103338_56116.jpg,云南省,曲靖市,103.82705,25.034952,花木山
103632_55639.jpg,云南省,曲靖市,104.63535,26.216757,石鼓溪沟
103374_56061.jpg,云南省,曲靖市,103.927284,25.17145,大青沟
103682_55572.jpg,云南省,曲靖市,104.772026,26.37978,马家沟
103389_55914.jpg,云南省,曲靖市,103.967514,25.535482,Y079
103365_56075.jpg,云南省,曲靖市,103.90202,25.137432,小份子水库
103631_55649.jpg,云南省,曲靖市,104.632866,26.190315,观景亭
103596_55861.jpg,云南省,曲靖市,104.53533,25.667253,娘娘地
103586_55868.jpg,云南省,曲靖市,104.50969,25.649841,W1BD520222
103510_55836.jpg,云南省,曲靖市,104.30096,25.729183,沙锅冲
103360_56076.jpg,云南省,曲靖市,103.888954,25.133379,蜂子山
103518_55826.jpg,云南省,曲靖市,104.32255,25.753927,关鸠坪
103632_55638.jpg,云南省,曲靖市,104.63605,26.218359,何家岩洞
103318_56156.jpg,云南省,曲靖市,103.772,24.936102,羊厩房线
103518_55828.jpg,云南省,曲靖市,104.322075,25.750029,关鸠坪
103339_56138.jpg,云南省,曲靖市,103.83071,24.979624,王家窝棚
103623_55695.jpg,云南省,曲靖市,104.60954,26.078817,癞石老包
103657_55900.jpg,云南省,曲靖市,104.702805,25.571049,W529520222
103562_55895.jpg,云南省,曲靖市,104.44282,25.58309,上冠鸡
103632_55648.jpg,云南省,曲靖市,104.63437,26.194166,观景亭
103671_55564.jpg,云南省,曲靖市,104.74261,26.400557,大箐头
103384_55924.jpg,云南省,曲靖市,103.95307,25.510761,八坡石
103640_55902.jpg,云南省,曲靖市,104.656975,25.566055,二官坟
103535_55839.jpg,云南省,曲靖市,104.3692,25.72106,X254
103401_55900.jpg,云南省,曲靖市,104.00007,25.570272,大麦地水库
103327_56151.jpg,云南省,曲靖市,103.79853,24.94651,双坝塘入口－陆水线大水塘学校口公路
103375_56059.jpg,云南省,曲靖市,103.92857,25.17596,大箐沟
103350_56075.jpg,云南省,曲靖市,103.86004,25.137669,龙家水塘小学
103386_55921.jpg,云南省,曲靖市,103.96033,25.518398,八坡石
103631_55697.jpg,云南省,曲靖市,104.63345,26.073708,S77
103546_55822.jpg,云南省,曲靖市,104.399284,25.76424,Y347
103372_55885.jpg,云南省,曲靖市,103.92217,25.607103,关牛洞水库
103517_55846.jpg,云南省,曲靖市,104.31984,25.704485,冠鸡坪
103370_55912.jpg,云南省,曲靖市,103.9153,25.542126,磨盘山
103365_55951.jpg,云南省,曲靖市,103.901764,25.445045,鸡郎路
103365_56072.jpg,云南省,曲靖市,103.90105,25.145025,龙家水塘坝
103540_55766.jpg,云南省,曲靖市,104.381516,25.902452,石口子
103608_55427.jpg,云南省,曲靖市,104.56949,26.736618,哇希倮
103637_55700.jpg,云南省,曲靖市,104.64898,26.06624,S77
103519_55820.jpg,云南省,曲靖市,104.32359,25.76931,一把伞
103337_56118.jpg,云南省,曲靖市,103.82537,25.029634,花木山
103524_55804.jpg,云南省,曲靖市,104.33949,25.807884,烧灰冲
103325_56153.jpg,云南省,曲靖市,103.79175,24.941507,V095
103370_55947.jpg,云南省,曲靖市,103.91501,25.455389,曹家大山
103373_55949.jpg,云南省,曲靖市,103.92301,25.44902,尖山
103542_55830.jpg,云南省,曲靖市,104.38683,25.744987,Y347
103628_55631.jpg,云南省,曲靖市,104.623535,26.234531,S212
103688_56143.jpg,云南省,曲靖市,104.78987,24.968338,营盘
103342_56093.jpg,云南省,曲靖市,103.839195,25.092783,雨麦红小学
103641_55699.jpg,云南省,曲靖市,104.659485,26.067944,大丫口
103312_56164.jpg,云南省,曲靖市,103.757515,24.91449,大山
103400_55899.jpg,云南省,曲靖市,103.999,25.57252,大麦地水库
103516_55820.jpg,云南省,曲靖市,104.31736,25.768536,一把伞
